LINE,LOC,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
64,2,191.44,1482.16,25.89,29,66.15,71.69,72.82,2.5,2.6,2.88,0.83,0.6,1.43,0.08,0.29,0.45,0.04,242.13,131.8,0.11,69.8,63.93,0.02,0.08,0,0.27,0.19,0,0.5,0.37,0.74,0.88,0.9,2.61,0.42,135.33,82.19,64.86,94.16,43.18,21.98,23.08,46.91,31.99,2.36,0.63,0.2
65,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,2,141.68,1110.24,26.2,29.78,48.2,51.79,52,1.75,1.85,1.98,0.97,0.44,2.25,0.08,0.19,0.45,0.03,215.3,158.63,0.14,87.03,68.05,0,0,0,0.39,0.1,0,0.54,0.29,0.74,0.89,0.89,1.85,0.43,135.62,137.78,91.18,109.42,59.58,-10.66,29.86,109.67,31.75,0.88,0.58,0.24
74,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,2,252.62,3150.16,39.58,41.7,96.16,100.18,99.52,2.44,2.49,2.59,0.87,0.42,2.09,0.07,0.27,0.45,0.03,193.85,91.5,0.08,61.88,52.73,0,0,0,0.28,0.17,0,0.77,0.41,0.77,0.88,0.89,2.5,0.39,135.57,65.58,53.17,88.75,39.06,31.36,25.18,38.63,40.26,3.1,0.63,0.21
79,2,337.17,5512.08,53.15,66.76,109.96,121.05,122.92,1.82,2.09,2.36,1.18,0.38,3.24,0.1,0.22,0.42,0.05,230.7,180.15,0.27,43.68,71.1,0,0.11,0,0.55,0.25,0,1.71,0.19,0.72,0.89,0.9,2.09,0.47,140.09,69.03,56.13,92.28,40.76,31.53,26.13,39.65,40.95,3.13,0.64,0.2
80,2,321.12,4312.27,42.31,49.17,111.97,125.52,126.12,2.57,2.66,3,1.01,0.4,2.55,0.09,0.3,0.44,0.03,241.35,102.38,0.15,51.43,44.98,0,0,0,0.42,0.33,0,1.49,0.28,0.71,0.87,0.9,2.66,0.45,129.19,62.34,50.54,84.5,37.12,30.26,24.15,38.6,38.72,4.08,0.65,0.2
81,2,287.59,4277.37,50.84,54.17,94.49,104.73,105.75,1.95,1.88,2.1,1,0.38,2.76,0.08,0.21,0.49,0.04,235.23,66.83,0.16,73.3,71.73,0,0.05,0,0.38,0.2,0,1.07,0.35,0.72,0.89,0.89,1.88,0.44,122.09,55.83,45.04,78.52,34.25,30.43,23.62,37.58,38.56,5.13,0.61,0.21
82,2,242.91,3191.96,45.3,50.5,79.04,86.85,87.34,1.72,1.75,1.94,0.99,0.4,2.51,0.08,0.19,0.45,0.04,238.98,145.75,0.17,84.4,71.33,0,0,0,0.43,0.18,0,0.92,0.26,0.73,0.89,0.89,1.75,0.44,118.7,54.43,45.61,77.13,33.25,29.9,21.67,35.93,36.93,2.08,0.6,0.22
83,2,266.47,4743.26,44.96,48.18,92.1,100.39,101.48,2.09,2.07,2.28,0.94,0.34,2.98,0.08,0.23,0.46,0.04,257.3,166.93,0.14,61.77,58.93,0,0.01,0,0.4,0.2,0,1.41,0.33,0.73,0.89,0.88,2.07,0.42,123.76,54.56,45.93,79.73,34.3,32.17,23.01,35.54,39.55,5.57,0.68,0.17
84,2,358.43,6438.42,65.38,70.32,109.22,125.71,126.89,1.79,1.68,1.96,0.99,0.37,2.7,0.09,0.19,0.46,0.08,276.85,243.8,0.28,84,78.48,0,0.02,0,0.4,0.22,0,1.37,0.33,0.7,0.89,0.88,1.68,0.44,126.13,58,48.14,81.9,35.48,31.31,23.27,36.62,39.03,5.77,0.64,0.19
85,2,327.77,5358.38,50.86,56.79,117.31,124.5,126.05,2.19,2.3,2.47,1.04,0.45,2.36,0.08,0.26,0.48,0.03,227.95,170.08,0.07,70.6,64.58,0,0,0,0.48,0.21,0,1.34,0.22,0.75,0.89,0.89,2.31,0.44,123.31,60.5,47.31,80.24,35.59,28.52,24.05,40.14,37.31,6.66,0.64,0.19
86,2,295.68,3889.43,41.85,46.36,101.88,116.82,117.84,2.52,2.44,2.85,0.97,0.36,2.73,0.08,0.29,0.43,0.04,282,108.98,0.14,58.18,49.15,0,0.02,0,0.39,0.33,0,1.26,0.31,0.7,0.88,0.87,2.44,0.45,141.5,64.41,51.71,90.87,39.78,34.44,27.53,38.58,44.1,3.81,0.78,0.2
87,2,301.94,4659.57,49.23,52.15,106.72,115.02,115.4,2.21,2.17,2.36,0.95,0.48,1.99,0.07,0.24,0.51,0.05,267.1,46.85,0.14,85.6,66.85,0,0.04,0,0.35,0.18,0,0.92,0.33,0.74,0.89,0.89,2.17,0.44,146.56,92.77,51.44,93.18,47.4,19.65,38.14,62.66,42.97,4.23,0.69,0.2
88,2,247.62,3173.38,54.91,57.62,53.15,70.4,75.51,1.22,0.96,1.38,0.94,0.72,1.38,0.11,0.15,0.6,0.08,225,261.3,0.29,136.25,141.65,0.09,0.01,0.12,0.17,0.22,0.22,0.3,0.48,0.58,0.89,0.88,0.96,0.55,121.01,124.87,86.8,99.93,54.02,-9.89,24.25,112.16,26.19,2.99,0.9,0.17
89,2,276.43,3759.51,69.55,75.84,45.76,67.75,77.33,0.9,0.66,1.09,1,0.66,1.52,0.12,0.15,0.56,0.1,238.68,270.1,0.29,207.55,167.13,0.05,0.03,0,0.36,0.27,0,0.68,0.28,0.54,0.89,0.89,0.66,0.58,146.44,141.35,109.79,120.68,61.96,-5.03,21.4,103.19,21.99,3.21,0.91,0.15
90,2,235.74,2940.02,48.3,53.45,63.39,74.68,77.92,1.43,1.38,1.65,1.05,0.5,2.16,0.11,0.16,0.5,0.07,245.1,261.78,0.22,166.75,77.75,0.03,0,0,0.45,0.21,0,0.82,0.22,0.68,0.88,0.89,1.38,0.48,150.86,145.13,108.8,122.3,63.62,-5.56,24.47,102.84,25.1,2.11,0.74,0.2
91,2,212.44,2192.77,75.92,76.16,24.79,37.53,44.08,0.49,0.33,0.6,0.78,0.72,1.1,0.1,0.28,0.59,0.05,138.8,221.93,0.15,237.38,204.55,0.07,0.01,0.04,0.12,0.25,0.04,0.14,0.46,0.53,0.89,0.88,0.33,0.57,150.69,86.47,67.58,102.63,46.96,26.47,27.61,46.76,38.39,2.67,0.67,0.2
92,2,243.07,2916.5,84.6,85.7,32.15,46.74,49.39,0.55,0.39,0.61,0.53,0.71,0.75,0.1,0.25,0.52,0.12,223.3,248.98,0.37,216.63,210.6,0.15,0.01,0.08,0.08,0.59,0.15,0.07,0.48,0.55,0.89,0.88,0.38,0.54,146.85,74.56,58.5,96.51,43.26,31.05,28.43,42.52,42.11,4.46,0.74,0.17
93,2,271.89,3049.3,94.21,96.49,24.33,45.75,57.82,0.47,0.26,0.85,0.48,0.62,0.85,0.12,0.33,0.48,0.13,196.8,216.57,0.27,156.2,191.63,0.04,0.01,0.11,0.11,0.89,0.18,0.14,0.51,0.43,0.89,0.86,0.25,0.62,135.33,67.45,52.32,88.22,39.35,29.79,26.46,41.6,39.86,4.77,0.86,0.13
94,2,263.32,3217.61,93.35,93.66,28.05,45.93,50.38,0.49,0.3,0.54,0.56,0.76,0.75,0.11,0.3,0.59,0.11,200.65,241.95,0.41,197.55,208.2,0.23,0.02,0.08,0.09,0.48,0.13,0.11,0.48,0.49,0.89,0.89,0.3,0.59,139.97,76.5,61.91,94.84,42.34,27.49,24.63,41.89,36.92,2.45,0.77,0.14
95,2,355.32,5348.68,51.73,67.92,109.2,126.2,127.69,1.86,2.12,2.55,1.07,0.34,3.16,0.11,0.23,0.35,0.06,257.33,265.18,0.3,40.38,56.63,0,0.11,0,0.44,0.49,0,1.87,0.21,0.69,0.88,0.9,2.12,0.47,124.89,59.89,48.27,81.43,35.81,29.57,23.69,38.69,37.89,3,0.72,0.14
96,2,263.05,3425.7,90.59,91.27,29.76,49.87,58.74,0.55,0.33,0.66,0.53,0.52,1.55,0.11,0.27,0.56,0.06,223.05,253.95,0.13,103.75,117.4,0.03,0.01,0.06,0.09,0.53,0.13,0.11,0.47,0.48,0.89,0.88,0.33,0.6,144.6,84.47,65.73,98.94,45.28,24.67,26.25,47.93,36.18,4.03,0.88,0.14
97,2,286.36,3838.62,96.99,97.73,28.15,52.96,56.15,0.54,0.29,0.58,0.69,0.72,1.02,0.12,0.29,0.6,0.19,231.93,275.8,0.52,208.55,177.08,0.38,0.02,0.07,0.1,0.39,0.11,0.14,0.48,0.43,0.89,0.89,0.29,0.64,137.09,75.53,60.72,92.97,41.73,26.6,24.43,42.66,36.15,3.63,0.76,0.12
98,2,233.42,2686.32,81.83,82.25,26.92,44.49,46.32,0.54,0.33,0.57,0.54,0.63,0.87,0.11,0.28,0.56,0.17,214.65,256.53,0.57,202.95,198.28,0.06,0.01,0.03,0.13,0.47,0.05,0.19,0.45,0.48,0.89,0.88,0.33,0.59,147.91,83.69,65.03,100.13,45.59,26.81,27.28,45.73,38.45,2.76,0.7,0.15
99,2,249.86,2934.55,83.23,83.82,28,46.14,58.82,0.55,0.34,0.71,0.86,0.65,1.34,0.12,0.28,0.6,0.06,179.97,288.87,0.16,190.47,172.87,0.06,0.07,0,0.22,0.16,0,0.34,0.42,0.49,0.89,0.89,0.34,0.6,142,73.27,58.82,94.32,41.76,29.92,25.71,40.4,39.49,2.01,0.76,0.13
100,2,414.71,4254.48,29.85,37.72,154.69,170.9,175.37,4.53,5.19,5.87,0.78,0.56,1.39,0.11,0.41,0.44,0.01,63.2,151.2,0.11,46.85,28,0,0.04,0,0.39,0.38,0,1.72,0.26,0.73,0.89,0.91,5.23,0.46,102.08,108.79,65.66,82.21,47.21,-11.75,27.15,113.39,29.58,2.33,0.68,0.17
101,2,40.35,111.86,12.07,12.17,10.46,11.35,12.82,0.93,0.87,1.07,0.8,0.6,1.35,0.05,0.06,0.55,0,192.58,199.58,0.01,182.73,153.58,0.01,0.02,0,0.18,0.02,0,0.05,0.42,0.74,0.89,0.88,0.87,0.45,165.78,156.58,112.87,131.24,68.83,-5.47,29.55,100.45,30.08,0.9,0.59,0.23
102,2,139.49,1060.27,26.04,30.99,44.2,48.09,48.89,1.57,1.74,1.91,1.06,0.51,2.09,0.1,0.18,0.45,0.06,221.38,228.4,0.27,118.68,82.38,0,0,0,0.42,0.07,0,0.57,0.29,0.73,0.89,0.89,1.75,0.47,160.25,156.87,116.92,130.7,68.35,-7.44,26.3,105.83,27.34,2.21,0.65,0.19
103,2,199.38,1820.19,28.28,30.84,78.02,81.68,83.78,2.69,2.81,3.03,0.6,0.53,1.15,0.06,0.3,0.37,0.04,155.33,30.58,0.01,69.65,53.35,0,0.07,0.04,0.15,0.22,0.25,0.38,0.46,0.76,0.89,0.89,2.82,0.39,110.51,117.88,72.41,90.17,50.88,-12.6,28.52,113.85,31.18,7.5,0.71,0.18
104,2,171.11,1087.24,18.06,19.45,72.18,74.25,75.33,3.89,4.03,4.16,0.72,0.57,1.31,0.07,0.37,0.46,0.03,95.85,41.6,0,60.45,41.55,0,0,0,0.23,0.07,0,0.42,0.4,0.78,0.89,0.89,4.04,0.4,110.31,116.38,70,88.37,50.39,-12.09,29.31,112.48,31.73,3.13,0.57,0.23
105,2,100.43,633.83,30.18,31.9,23.62,26.39,28.18,0.84,0.81,0.95,0.85,0.55,1.61,0.07,0.13,0.49,0.04,197.85,221.15,0.21,104.1,136.45,0.01,0.04,0,0.26,0.14,0,0.18,0.36,0.71,0.89,0.88,0.8,0.45,158.24,152.32,109.42,126.14,66.67,-6.65,28.61,103.28,29.4,2.32,0.65,0.19
106,2,115.63,847.67,37.87,38.1,23.56,27.24,29.97,0.71,0.62,0.79,0.81,0.65,1.26,0.06,0.14,0.58,0.05,207.3,227.45,0.16,139.2,166.25,0.02,0.03,0,0.18,0.04,0,0.12,0.44,0.69,0.89,0.89,0.62,0.47,151.43,155.44,106.36,124.32,66.84,-12.16,30.92,111.49,33.23,0.88,0.59,0.23
107,2,123.91,837.3,21.8,27.47,39.81,43.46,44.06,1.59,1.86,2.05,1.14,0.51,2.26,0.1,0.19,0.44,0.04,214.3,206.5,0.15,111.48,70.5,0,0,0,0.45,0.1,0,0.55,0.23,0.72,0.89,0.87,1.84,0.49,143.65,142.75,95.87,114.02,62.26,-9.36,30.37,107.16,31.78,1.13,0.61,0.22
108,2,352.21,3222.14,24.36,41.74,129.48,145.54,152.59,3.65,5.38,6.45,1.15,0.61,1.9,0.14,0.42,0.37,0.01,129.6,49.1,0.07,34.63,31.95,0,0.03,0,0.45,0.7,0,2.27,0.18,0.71,0.9,0.96,5.39,0.5,142.26,143.23,103.53,116.7,62.36,-9.13,25.41,109.83,27,4.49,0.62,0.2
109,2,294.62,2497.4,22.48,38.27,107.8,119.97,125.64,3.21,4.83,5.81,1.18,0.67,1.9,0.13,0.4,0.35,0.02,171.18,60,0.09,35.4,29.1,0,0.11,0,0.46,0.58,0,1.97,0.15,0.72,0.93,0.96,4.85,0.51,125.36,130.35,78.91,99.01,56.39,-12.46,32.48,110.99,34.8,4.49,0.65,0.19
110,2,308.62,2938.22,24.89,33.4,117.86,129.35,130.83,3.91,4.8,5.34,1.17,0.59,2.03,0.1,0.4,0.47,0.02,170.38,81,0.1,42.58,26.25,0,0,0,0.54,0.36,0,1.87,0.17,0.73,0.89,0.92,4.83,0.5,143.69,136.22,88.1,110.04,60.13,-6.18,32.37,100.46,33.19,1.46,0.62,0.21
111,2,388.34,3584.58,24.24,47.88,143.53,157.65,164.95,3.39,6.01,7.21,1.31,0.68,2.04,0.16,0.42,0.32,0.02,123.13,70.1,0.02,31.93,25.13,0,0.05,0,0.46,0.88,0,3.02,0.09,0.73,0.91,1.03,6.03,0.52,124.12,127.44,78.61,97.79,55.25,-11.26,31.09,109.78,33.09,1.64,0.64,0.19
112,2,425.18,4483.14,31.56,43.69,143.23,172.19,175.41,4.02,4.6,5.8,0.98,0.57,1.75,0.11,0.41,0.39,0.02,203.45,42.05,0.08,38.6,27.9,0,0.04,0,0.45,0.64,0,2.43,0.17,0.67,0.88,0.94,4.61,0.49,128.69,127.86,80.78,100.42,55.96,-9.1,30.66,106.26,32.1,2.05,0.64,0.2
113,2,356.06,6754.18,66.66,70.47,110.74,121.41,123.57,1.73,1.66,1.86,0.96,0.52,1.87,0.07,0.18,0.52,0.05,249.47,145.83,0.16,88.43,118.03,0.01,0.12,0,0.39,0.31,0,0.95,0.28,0.73,0.89,0.88,1.66,0.45,101.15,44.89,38.23,65.38,27.68,27.36,18.08,33.39,32.81,2.83,0.72,0.15
114,2,306.02,3613.53,32.28,38.21,115.61,125.41,126.65,3.29,3.61,3.98,1.07,0.59,1.91,0.09,0.36,0.5,0.02,165.93,90.08,0.06,57.75,57.13,0,0.09,0,0.34,0.22,0,1.2,0.34,0.74,0.89,0.89,3.61,0.48,121.85,125.58,83.37,98.8,54.64,-10.52,26.95,111.27,28.93,3.16,0.69,0.17
115,2,256.93,1697.9,16.4,24.11,106.47,111.51,113.66,4.62,6.49,7.01,1.24,0.54,2.31,0.11,0.43,0.36,0.01,104,43.03,0.04,45.9,20.03,0,0.25,0,0.54,0.25,0,1.7,0.2,0.76,0.89,0.95,6.53,0.49,134.75,139.79,91.32,109.48,60.4,-12.28,30.5,111.93,32.88,2.28,0.61,0.21
116,2,220.12,890.01,10.22,20.91,82.53,95.61,99.53,4.91,8.05,9.93,1.09,0.51,2.13,0.16,0.45,0.29,0.05,69.03,11.28,0.01,47.15,17.33,0,0.04,0,0.51,0.41,0,2.08,0.2,0.69,0.9,0.98,8.17,0.53,127.96,129.56,84.33,101.3,56.58,-10,28.99,109.01,30.67,1.85,0.54,0.26
117,2,115.38,855.74,32.39,33.95,30.23,33.08,35.02,0.98,0.93,1.07,0.86,0.52,1.66,0.07,0.08,0.5,0.02,89.48,154.18,0.09,121.5,85.4,0,0,0,0.3,0.07,0,0.24,0.33,0.73,0.89,0.89,0.94,0.43,150.25,153.44,103.67,122.34,66.13,-11.85,31.47,110.66,33.63,0.96,0.63,0.2
118,2,196.88,2234.62,67.37,67.63,32.45,41.93,44.85,0.63,0.49,0.68,0.81,0.66,1.22,0.08,0.2,0.58,0.08,191.95,154.08,0.26,220.93,148.48,0.08,0.01,0,0.16,0.19,0,0.21,0.45,0.62,0.89,0.89,0.49,0.51,165.87,99.61,77.51,114.48,52.64,26.2,29.75,49.04,39.74,1.3,0.61,0.22
119,2,115.88,846.74,38.06,38.31,24.36,28.13,30.07,0.74,0.64,0.79,0.68,0.58,1.16,0.06,0.14,0.53,0.02,133.5,5.73,0.11,234.03,135.63,0.05,0.02,0.02,0.14,0.11,0.04,0.1,0.45,0.69,0.89,0.89,0.64,0.45,156.51,159.4,110.07,128.26,68.53,-11.71,31.19,110.54,33.35,1.44,0.63,0.2
120,2,446.17,8540.43,62.19,67.69,145.8,164.08,163.53,2.43,2.36,2.64,0.95,0.46,2.09,0.07,0.26,0.54,0.04,197.3,31.6,0.2,83.65,73.45,0,0.07,0,0.33,0.3,0,1.15,0.26,0.71,0.89,0.89,2.37,0.46,94.13,41.18,34.92,60.5,25.43,26.19,17.03,33.04,31.24,2.59,0.75,0.13
121,2,251.28,2779.91,35.58,36.96,98.47,105.62,107.01,2.88,2.78,3.05,0.54,0.44,1.21,0.06,0.31,0.37,0.04,122.65,44.33,0,79.63,34.8,0,0.09,0,0.17,0.25,0,0.69,0.43,0.75,0.89,0.89,2.79,0.37,113.49,120.7,75.64,92.88,52.11,-12.53,28.28,113.9,30.93,6.43,0.76,0.17
122,2,272.55,3688.51,93.95,94.83,33.5,50.4,62.94,0.53,0.36,0.67,0.81,0.64,1.48,0.11,0.27,0.61,0.02,119.33,203,0,208.4,60.2,0.05,0.01,0.04,0.12,0.35,0.07,0.13,0.44,0.53,0.89,0.89,0.36,0.57,141.65,82.59,64.78,97.05,44.31,24.42,25.47,46.53,35.41,3.64,0.7,0.17
123,2,378.4,4307.53,31.86,49.05,135.86,152.32,160.32,3.18,4.28,5.28,1.09,0.54,2.03,0.14,0.39,0.35,0.02,248.5,8.63,0.12,26.6,16.67,0,0.05,0,0.43,0.62,0,1.49,0.24,0.71,0.9,0.97,4.28,0.49,140.12,143.06,99.95,114.78,62,-10.54,27.44,111.01,29.39,3.31,0.7,0.16
124,2,289.95,3553.09,40.98,51.37,93.66,105.26,105.13,2.05,2.37,2.67,1.16,0.33,3.71,0.1,0.25,0.43,0.04,158.75,139.68,0.18,84.58,46.45,0,0.18,0,0.4,0.28,0,1.36,0.26,0.71,0.88,0.89,2.38,0.46,110.29,53.75,44.59,72.68,31.58,26.57,19.68,36.49,33.07,6.01,0.83,0.1
125,2,289.63,3978.52,59.58,63.8,63.33,82.78,91.02,1.31,1.08,1.57,0.99,0.62,1.65,0.12,0.15,0.57,0.08,97.33,181.43,0.29,195.88,148.95,0.03,0.07,0,0.37,0.22,0,0.77,0.25,0.61,0.89,0.88,1.08,0.52,135.47,130.99,106.41,113.87,57.91,-3.96,16.85,103.16,17.32,1.3,0.73,0.14
126,2,292.08,4562.7,57.85,60.68,77.66,89.18,96.94,1.47,1.34,1.68,0.95,0.86,1.11,0.08,0.13,0.67,0.04,135.05,88.85,0.16,196.3,93.43,0.05,0.09,-0.03,0.21,0.2,0.08,0.29,0.3,0.7,0.89,0.88,1.35,0.51,125.65,119.77,88.33,100.73,53.1,-4.17,21.6,100.92,22.01,2.34,0.65,0.19
127,2,226.81,2827.88,46.61,53.72,63.82,73.43,77.11,1.38,1.4,1.67,1.07,0.5,2.17,0.1,0.15,0.48,0.05,179.7,134.3,0.19,114.75,58.05,0,0.03,0,0.45,0.16,0,0.85,0.24,0.69,0.89,0.88,1.4,0.48,150.85,134.4,90.73,113.87,60.3,-1.24,31.23,92.2,31.53,1.87,0.56,0.25
128,2,197.42,1044.88,13.46,17.15,81.41,85.64,86.23,5,6.07,6.49,1.1,0.54,2.04,0.1,0.42,0.42,0.01,212.4,10.83,0.04,49.9,16.28,0,0.16,0,0.48,0.11,0,0.96,0.24,0.76,0.89,0.89,6.12,0.48,125.34,131.58,81.8,101.27,56.81,-12.9,31.2,112.56,33.77,1.49,0.59,0.23
129,2,274.78,3108.3,36.86,45.72,87.94,101.94,102.88,2.24,2.45,2.94,1.21,0.48,2.55,0.11,0.27,0.42,0.04,136.47,53.67,0.19,138.2,125.93,0.01,0.4,0,0.52,0.34,0,1.45,0.17,0.69,0.89,0.89,2.46,0.48,101.56,50,41.5,67.1,29.02,24.68,17.89,35.74,30.5,3.76,0.87,0.11
130,2,191.53,1408.74,21.4,25.34,73.55,79.21,79.45,3.13,3.45,3.74,1.06,0.42,2.56,0.09,0.34,0.42,0.03,222.85,32.48,0.1,54.7,24.9,0,0.05,0,0.48,0.11,0,0.97,0.22,0.74,0.89,0.9,3.47,0.44,108.3,114.81,73.12,89.27,49.53,-11.58,26.3,113.68,28.8,1.49,0.64,0.2
131,2,294.98,3180.7,31.5,40.45,105.16,115.91,117.68,2.89,3.38,3.91,1.04,0.61,1.92,0.11,0.35,0.46,0.04,224.55,12.65,0.16,190.95,16.33,0.01,0.01,0.02,0.36,0.37,0.16,0.91,0.25,0.73,0.89,0.92,3.38,0.48,124.15,55.94,44.87,79.44,34.6,31.38,24.4,37.79,39.77,2.56,0.7,0.16
132,2,345.24,5708.22,54.82,62.06,113.71,122.39,125.39,1.97,2.11,2.32,1.04,0.42,2.47,0.08,0.23,0.53,0.05,208.1,65.35,0.13,160.6,71,0,0.2,0,0.42,0.24,0,1.17,0.2,0.74,0.88,0.88,2.11,0.45,111.44,49.73,40.88,71.48,30.73,29.21,21.14,35.89,36.06,5.06,0.73,0.14
133,2,356.57,6609.3,69.85,74.8,103.12,118.32,121.71,1.58,1.48,1.76,0.92,0.44,2.29,0.07,0.17,0.47,0.03,214.45,99,0.08,110.25,44,0,0.06,0,0.25,0.41,0,0.97,0.43,0.7,0.88,0.88,1.47,0.45,119.17,59.27,49.16,79.05,34.37,27.54,20.79,37.05,34.5,4.36,0.88,0.15
134,2,251.66,2692.04,64.81,65.62,40.28,56.32,64.29,0.86,0.62,1.04,0.83,0.53,1.87,0.14,0.19,0.56,0.14,186.05,130.83,0.47,221.75,116.78,0.15,0.01,0,0.18,0.25,0,0.33,0.48,0.57,0.89,0.89,0.62,0.52,104.96,107.89,72.4,85.78,46.63,-8.78,22.7,111.12,24.34,3.97,1.04,0.14
135,2,319.17,2577.28,20.04,28.91,123.91,139.7,141.59,4.84,6.24,7.24,1.21,0.55,2.23,0.11,0.43,0.35,0,194.35,3.5,0.02,18.65,11.4,0,0.1,0,0.56,0.41,0,2.09,0.15,0.71,0.88,0.89,6.28,0.52,129.83,133.71,88.85,105.35,57.94,-11.11,28.47,111.3,30.56,2.9,0.64,0.2
136,2,229.4,2656.68,38.67,43.1,76.75,83.93,86.26,1.95,2,2.28,0.99,0.51,2,0.08,0.23,0.46,0.03,128.93,75.88,0.13,104.9,44.45,0,0.06,0,0.28,0.23,0,0.8,0.29,0.73,0.89,0.89,2,0.44,89.88,55.06,44.13,62.87,28.31,15.94,14.28,41.84,21.5,3.95,0.75,0.14
137,2,258.21,3423.25,62,64.81,50.59,66.95,79.38,1.04,0.82,1.28,0.96,0.72,1.33,0.11,0.13,0.61,0.01,90.1,130.83,0.02,252.38,117.4,0.13,0.01,0,0.23,0.23,0,0.42,0.38,0.6,0.89,0.92,0.82,0.54,106.12,109.23,72.77,86.15,47.35,-9.09,23.41,111.21,25.12,2.85,0.89,0.11
138,2,308.73,4151.2,75.18,76.39,51.12,76.45,95.86,1,0.69,1.28,0.82,0.64,1.29,0.12,0.14,0.55,0.07,81.13,90.83,0.12,220.55,146.48,0.06,0.02,0,0.1,0.36,0,0.39,0.52,0.54,0.89,0.89,0.69,0.52,105.03,110.07,74.83,87.24,47.59,-9.81,22.34,113.76,24.41,5.19,0.63,0.1
139,2,293.12,3577.61,62.8,67.59,45.8,71.59,88.3,1.06,0.73,1.4,0.74,0.58,1.26,0.12,0.13,0.57,0.07,200.48,154.85,0.22,60.83,124.53,0.02,0.13,0,0.27,0.36,0,0.5,0.34,0.51,0.89,0.89,0.73,0.6,88.99,92.7,59.78,72.61,40.11,-8.53,21.02,111.95,22.71,4.67,0.63,0.11
